,query
128,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Harmonica> rdfs:label ?label.    <http://dbpedia.org/resource/Harmonica> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Harmonica> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
129,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
130,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
131,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
132,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
133,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
134,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
135,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
136,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
137,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
138,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
139,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
140,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
141,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/Los_Angeles,_California> rdfs:label ?label.    <http://dbpedia.org/resource/Los_Angeles,_California> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/Los_Angeles,_California> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/Los_Angeles,_California> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
142,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
143,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Stevie_Wonder> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_Wonder> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Stevie_Wonder> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
144,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Parquetry> rdfs:label ?label.    <http://dbpedia.org/resource/Parquetry> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Parquetry> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
145,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Tony_Toklomety> rdfs:label ?label.    <http://dbpedia.org/resource/Tony_Toklomety> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Tony_Toklomety> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Tony_Toklomety> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Tony_Toklomety> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
146,"select distinct ?label ?abstract ?depiction ?birthdate ?profession where { 	{    <http://dbpedia.org/resource/Larry_Graham> rdfs:label ?label.    <http://dbpedia.org/resource/Larry_Graham> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Larry_Graham> foaf:depiction ?depiction.    optional {<http://dbpedia.org/resource/Larry_Graham> dbpedia-owl:birthDate ?birthdate.}    optional {<http://dbpedia.org/resource/Larry_Graham> dbpedia-owl:profession ?profession.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
147,"select distinct ?label ?abstract ?depiction where { 	{    <http://dbpedia.org/resource/Stevie_(2002_film)> rdfs:label ?label.    <http://dbpedia.org/resource/Stevie_(2002_film)> dbpedia-owl:abstract ?abstract.    <http://dbpedia.org/resource/Stevie_(2002_film)> foaf:depiction ?depiction.    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
148,"select distinct ?label ?abstract ?latitude ?longitude where { 	{    <http://dbpedia.org/resource/France> rdfs:label ?label.    <http://dbpedia.org/resource/France> dbpedia-owl:abstract ?abstract.    optional {<http://dbpedia.org/resource/France> geo:lat ?latitude.}    optional {<http://dbpedia.org/resource/France> geo:long ?longitude.}    FILTER (langMatches( lang(?label), 'en') && langMatches(lang(?abstract),'en')) 	} }"
